ANNO,CODICE_MESE,NOME_MESE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,IVA,ACCISA,NETTO
1996,1,Gennaio,2,"Gasolio auto",728.52,116.32,386.04,226.17
1996,2,Febbraio,2,"Gasolio auto",725.89,115.9,386.04,223.95
1996,3,Marzo,2,"Gasolio auto",734.14,117.21,386.04,230.89
1996,4,Aprile,2,"Gasolio auto",744.82,118.92,386.04,239.86
1996,5,Maggio,2,"Gasolio auto",726.8,116.05,386.04,224.72
1996,6,Giugno,2,"Gasolio auto",718.7,114.75,386.04,217.91
1996,7,Luglio,2,"Gasolio auto",716.24,114.36,386.04,215.85
1996,8,Agosto,2,"Gasolio auto",717.98,114.63,386.04,217.31
1996,9,Settembre,2,"Gasolio auto",736.71,117.62,386.04,233.05
1996,10,Ottobre,2,"Gasolio auto",767.39,122.52,386.04,258.83
1996,11,Novembre,2,"Gasolio auto",766.28,122.35,386.04,257.9
1996,12,Dicembre,2,"Gasolio auto",759.52,121.27,386.04,252.22
1997,1,Gennaio,2,"Gasolio auto",762.57,121.76,386.04,254.78
1997,2,Febbraio,2,"Gasolio auto",759.08,121.2,386.04,251.85
1997,3,Marzo,2,"Gasolio auto",748.55,119.51,386.04,243
1997,4,Aprile,2,"Gasolio auto",740.25,118.19,386.04,236.03
1997,5,Maggio,2,"Gasolio auto",738.97,117.99,386.04,234.94
1997,6,Giugno,2,"Gasolio auto",739.27,118.04,386.04,235.2
1997,7,Luglio,2,"Gasolio auto",732.79,117,386.04,229.75
1997,8,Agosto,2,"Gasolio auto",740.27,118.19,386.04,236.04
1997,9,Settembre,2,"Gasolio auto",735.56,117.44,386.04,232.08
1997,10,Ottobre,2,"Gasolio auto",741.62,122.77,386.04,232.81
1997,11,Novembre,2,"Gasolio auto",746.64,124.44,386.04,236.17
1997,12,Dicembre,2,"Gasolio auto",746.98,124.5,386.04,236.45
1998,1,Gennaio,2,"Gasolio auto",738.48,123.08,386.04,229.37
1998,2,Febbraio,2,"Gasolio auto",729.86,121.65,386.04,222.18
1998,3,Marzo,2,"Gasolio auto",718.29,119.72,386.04,212.54
1998,4,Aprile,2,"Gasolio auto",715.09,119.18,386.04,209.87
1998,5,Maggio,2,"Gasolio auto",719.09,119.85,386.04,213.21
1998,6,Giugno,2,"Gasolio auto",712.4,118.73,386.04,207.63
1998,7,Luglio,2,"Gasolio auto",706.28,117.71,386.04,202.53
1998,8,Agosto,2,"Gasolio auto",702.58,117.1,386.04,199.45
1998,9,Settembre,2,"Gasolio auto",700.02,116.67,386.04,197.32
1998,10,Ottobre,2,"Gasolio auto",700.28,116.71,386.04,197.53
1998,11,Novembre,2,"Gasolio auto",700.13,116.69,386.04,197.4
1998,12,Dicembre,2,"Gasolio auto",690.57,115.09,386.04,189.44
1999,1,Gennaio,2,"Gasolio auto",696.47,116.08,393.79,186.6
1999,2,Febbraio,2,"Gasolio auto",706.77,117.79,403.21,185.76
1999,3,Marzo,2,"Gasolio auto",717.09,119.51,403.21,194.36
1999,4,Aprile,2,"Gasolio auto",741.37,123.56,403.21,214.6
1999,5,Maggio,2,"Gasolio auto",751.06,125.18,403.21,222.67
1999,6,Giugno,2,"Gasolio auto",744.52,124.09,403.21,217.22
1999,7,Luglio,2,"Gasolio auto",764.22,127.37,403.21,233.64
1999,8,Agosto,2,"Gasolio auto",772.49,128.75,403.21,240.52
1999,9,Settembre,2,"Gasolio auto",787.56,131.26,403.21,253.09
1999,10,Ottobre,2,"Gasolio auto",796.13,132.69,403.21,260.22
1999,11,Novembre,2,"Gasolio auto",789.34,131.55,390.3,267.48
1999,12,Dicembre,2,"Gasolio auto",827.95,137.99,390.3,299.65
2000,1,Gennaio,2,"Gasolio auto",843.31,140.55,388.78,313.98
2000,2,Febbraio,2,"Gasolio auto",844.26,140.71,388.15,315.4
2000,3,Marzo,2,"Gasolio auto",857.88,142.98,385.65,329.25
2000,4,Aprile,2,"Gasolio auto",842.38,140.4,381.69,320.28
2000,5,Maggio,2,"Gasolio auto",854.64,142.44,381.69,330.5
2000,6,Giugno,2,"Gasolio auto",872.83,145.47,381.69,345.66
2000,7,Luglio,2,"Gasolio auto",879.51,146.58,381.69,351.23
2000,8,Agosto,2,"Gasolio auto",884.04,147.34,381.69,355.01
2000,9,Settembre,2,"Gasolio auto",927.94,154.66,381.69,391.58
2000,10,Ottobre,2,"Gasolio auto",957.46,159.58,381.69,416.19
2000,11,Novembre,2,"Gasolio auto",968.87,161.48,381.69,425.7
2000,12,Dicembre,2,"Gasolio auto",962.21,160.37,381.69,420.15
2001,1,Gennaio,2,"Gasolio auto",912.56,152.09,381.69,378.77
2001,2,Febbraio,2,"Gasolio auto",885.35,147.56,381.69,356.1
2001,3,Marzo,2,"Gasolio auto",872.08,145.35,381.69,345.04
2001,4,Aprile,2,"Gasolio auto",860.76,143.46,381.69,335.61
2001,5,Maggio,2,"Gasolio auto",871.7,145.28,381.69,344.72
2001,6,Giugno,2,"Gasolio auto",880.2,146.7,381.69,351.8
2001,7,Luglio,2,"Gasolio auto",877.49,146.25,381.69,349.55
2001,8,Agosto,2,"Gasolio auto",861.17,143.53,381.69,335.94
2001,9,Settembre,2,"Gasolio auto",858.39,143.06,381.69,333.63
2001,10,Ottobre,2,"Gasolio auto",850.5,141.75,381.69,327.06
